question_id,texto_contexto,link_fonte,linha_na_fonte
1,"Em uma região de águas ultraprofundas, ocorre o desenvolvimento de reservatórios carbonáticos abaixo de uma camada de sal com até dois quilômetros de espessura, conhecida como pré-sal, caracterizando uma das maiores províncias de petróleo do mundo, apresentando acumulações de óleo pesado, óleo leve e gás não associado.",https://comunicabaciadesantos.petrobras.com.br/quem-somos,L42
1,"Essa barreira, chamada de trapa, pode ser uma rocha impermeável, como uma camada de sal.",https://www.sgb.gov.br/petroleo-do-pre-sal,L189
1,"Essa espessa camada de sal, formada principalmente de halita (cloreto de sódio, ou seja, o sal que usamos na comida) e anidrita (sulfato de cálcio) é uma barreira que se formou diretamente sobre a rocha geradora, impedindo que, neste caso, o petróleo migrasse.",https://www.sgb.gov.br/petroleo-do-pre-sal,L190
2,"O selo, ou rocha selante, é uma unidade com baixa permeabilidade que impede o escape de hidrocarbonetos da rocha reservatório.",https://pt.wikipedia.org/wiki/Geologia_do_petr%C3%B3leo,L187
2,Campos gigantes e supergigantes de alta produtividade na seção Pré-sal da Bacia de Santos são constituídos predominantemente por fácies carbonáticas lacustres e selados por espessa camada de evaporitos.,https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/16,L28
3,Nas regiões mais profundas destes lagos começaram a acumular grandes quantidades de matéria orgânica de algas microscópicas.,https://petrobras.com.br/pre-sal,L393
3,"Esta matéria orgânica, misturada a sedimentos, formou o que são as rochas que geram o óleo e o gás do pré-sal.",https://petrobras.com.br/pre-sal,L393
3,A rocha onde o petróleo se forma é chamada de rocha geradora.,https://www.sgb.gov.br/petroleo,L200
3,As rochas geradoras mais comuns são folhelhos negros.,https://www.sgb.gov.br/petroleo,L200
4,"Nas partes mais rasas destes lagos, em grandes ilhas lacustres, surgiram as chamadas conchas calcárias que se acumularam cada vez mais com o passar do tempo.",https://petrobras.com.br/pre-sal,L399
4,"Mais pra frente, essas conchas 'ganharam a companhia' de depósitos de estromatólitos, que nada mais são do que tipos de algas que formam rochas calcárias.",https://petrobras.com.br/pre-sal,L399
4,Tanto as conchas calcárias quanto as rochas calcárias compõem os principais reservatórios do pré-sal.,https://petrobras.com.br/pre-sal,L399
4,O reservatório é uma unidade litológica porosa e permeável ou conjunto de unidade que retém as reservas de hidrocarbonetos.,https://pt.wikipedia.org/wiki/Geologia_do_petr%C3%B3leo,L185
5,"Nas partes mais rasas destes lagos, em grandes ilhas lacustres, surgiram as chamadas conchas calcárias que se acumularam cada vez mais com o passar do tempo.",https://petrobras.com.br/pre-sal,L399
5,"Mais pra frente, essas conchas 'ganharam a companhia' de depósitos de estromatólitos, que nada mais são do que tipos de algas que formam rochas calcárias.",https://petrobras.com.br/pre-sal,L399
5,Tanto as conchas calcárias quanto as rochas calcárias compõem os principais reservatórios do pré-sal.,https://petrobras.com.br/pre-sal,L399
5,"A condição para o armazenamento do petróleo nas rochas reservatório é a porosidade de tais rochas, que variam de 5% a 35%, tendo em média de 15% a 30%.",https://pt.wikipedia.org/wiki/Sistema_petrol%C3%ADfero,L151
5,"Geralmente são compostas por granulometria de areia a seixo como arenitos, calcarenitos ou conglomerados.",https://pt.wikipedia.org/wiki/Sistema_petrol%C3%ADfero,L151
